hid,sample_geo,hinc,hsize,hhrtotals,hhtotals
8068,103,12,2,1,1
8270,904,15,2,1,1
8320,102,4,2,1,1
8395,902,6,1,1,1
8499,105,12,2,1,1
8542,105,12,1,1,1
8655,105,13,2,1,1
8823,105,13,2,1,1
8876,103,7,1,1,1
8924,104,5,1,1,1
9232,901,16,1,1,1
9417,906,16,4,1,1
9531,104,12,4,1,1
9615,905,11,2,1,1
9697,105,10,2,1,1
9715,102,16,3,1,1
10072,905,12,1,1,1
10074,105,12,2,1,1
10110,101,8,2,1,1
10310,903,8,3,1,1
10313,100,10,2,1,1
10395,100,6,5,1,1
10412,903,8,1,1,1
10456,900,6,1,1,1
10653,903,3,1,1,1
10698,104,5,5,1,1
10826,102,16,2,1,1
10949,105,11,2,1,1
11008,102,1,1,1,1
11059,902,7,1,1,1
11060,100,16,5,1,1
11092,100,12,4,1,1
11112,105,12,3,1,1
11154,105,12,6,1,1
11180,102,7,1,1,1
11250,101,16,5,1,1
11742,905,13,3,1,1
11814,105,16,3,1,1
12009,906,14,4,1,1
12016,906,12,2,1,1
12027,102,15,3,1,1
12029,103,12,4,1,1
12045,105,13,2,1,1
12053,105,16,4,1,1
12129,100,10,2,1,1
12197,100,16,4,1,1
12238,102,15,4,1,1
12291,102,3,1,1,1
12421,902,3,2,1,1
12488,903,11,1,1,1
12539,905,3,1,1,1
12609,903,4,1,1,1
12884,906,10,1,1,1
12912,105,11,2,1,1
12983,104,14,6,1,1
13105,100,9,2,1,1
13112,900,13,1,1,1
13115,906,10,1,1,1
13148,105,15,2,1,1
13289,105,16,3,1,1
13477,104,5,4,1,1
13565,102,9,2,1,1
13662,904,6,3,1,1
13684,105,7,2,1,1
13825,904,12,3,1,1
13929,104,2,1,1,1
14010,901,16,3,1,1
14180,102,11,1,1,1
14183,101,4,3,1,1
14212,105,13,4,1,1
14243,902,1,1,1,1
14293,905,1,2,1,1
14427,902,10,1,1,1
14472,105,16,2,1,1
14625,900,1,1,1,1
14720,105,16,3,1,1
14759,101,16,5,1,1
14775,103,14,1,1,1
14856,902,14,3,1,1
14898,905,3,3,1,1
14900,103,10,2,1,1
14975,903,14,2,1,1
14994,903,11,2,1,1
15005,100,14,6,1,1
15048,103,6,1,1,1
15100,904,12,2,1,1
15172,904,5,2,1,1
15219,902,13,4,1,1
15288,101,14,2,1,1
15297,101,13,1,1,1
15442,905,13,1,1,1
15493,900,15,3,1,1
15534,104,12,6,1,1
15659,902,11,2,1,1
16210,901,12,2,1,1
16557,900,12,3,1,1
16644,900,13,1,1,1
16659,105,10,1,1,1
16696,105,7,5,1,1
16782,900,13,1,1,1
16790,102,7,6,1,1
16799,102,13,1,1,1
16898,902,1,1,1,1
16923,906,8,1,1,1
16940,906,12,3,1,1
16943,100,16,2,1,1
16952,100,16,2,1,1
16953,100,14,2,1,1
16968,102,7,1,1,1
17041,104,3,5,1,1
17071,900,15,3,1,1
17077,905,1,2,1,1
17091,105,4,1,1,1
17129,102,14,3,1,1
17179,903,8,1,1,1
17288,905,3,1,1,1
17543,904,13,2,1,1
17549,101,16,2,1,1
17617,101,13,2,1,1
17648,906,16,3,1,1
17832,900,16,1,1,1
17867,102,1,3,1,1
18005,102,7,1,1,1
18076,101,7,1,1,1
18106,906,7,3,1,1
18108,105,4,2,1,1
18186,103,13,5,1,1
18216,905,16,5,1,1
18272,104,12,5,1,1
18376,900,11,4,1,1
18463,105,13,2,1,1
18710,902,9,6,1,1
18787,105,14,2,1,1
18840,900,16,2,1,1
18941,905,13,3,1,1
19001,103,12,1,1,1
19028,901,1,5,1,1
19320,904,12,2,1,1
19350,103,14,2,1,1
19361,900,10,2,1,1
19573,104,5,3,1,1
19588,904,14,1,1,1
19687,100,9,4,1,1
19729,905,5,1,1,1
19806,100,13,2,1,1
19963,103,15,2,1,1
20005,902,6,3,1,1
20006,105,15,5,1,1
20013,102,11,1,1,1
20022,100,12,2,1,1
20049,903,7,4,1,1
20070,102,15,2,1,1
20074,904,13,4,1,1
20226,901,12,2,1,1
20395,101,15,2,1,1
20814,105,14,2,1,1
20853,102,12,2,1,1
20906,105,15,5,1,1
21012,102,13,2,1,1
21101,101,1,4,1,1
21116,104,3,1,1,1
21192,103,16,4,1,1
21293,903,12,2,1,1
21302,904,14,2,1,1
21444,905,2,3,1,1
21567,906,10,3,1,1
21749,105,2,2,1,1
21790,101,8,1,1,1
22263,905,9,2,1,1
22291,104,3,1,1,1
22418,902,8,4,1,1
22431,906,12,1,1,1
22443,102,16,4,1,1
22526,903,12,2,1,1
22660,905,2,1,1,1
22669,102,14,4,1,1
22675,904,14,4,1,1
22724,100,16,2,1,1
22782,906,13,2,1,1
22812,906,13,2,1,1
22842,105,10,2,1,1
22997,100,13,2,1,1
23072,102,16,1,1,1
23140,905,7,1,1,1
23267,102,8,1,1,1
23283,901,12,4,1,1
23331,103,16,2,1,1
23458,101,14,3,1,1
23558,900,15,3,1,1
23746,104,3,4,1,1
23770,101,13,3,1,1
23912,900,1,1,1,1
23914,901,4,1,1,1
23919,900,10,1,1,1
23933,904,15,3,1,1
23937,104,6,4,1,1
24088,905,13,3,1,1
24092,901,11,7,1,1
24117,904,14,7,1,1
24224,904,13,2,1,1
24331,905,4,2,1,1
24377,104,12,2,1,1
24454,103,14,4,1,1
24470,905,12,2,1,1
24654,105,12,5,1,1
24769,103,16,4,1,1
24888,100,10,5,1,1
24903,101,10,2,1,1
25005,904,4,1,1,1
25054,902,1,4,1,1
25090,904,3,1,1,1
25106,105,14,2,1,1
25142,102,13,2,1,1
25217,902,4,1,1,1
25278,104,8,4,1,1
25349,102,16,1,1,1
25367,901,3,1,1,1
25657,103,16,4,1,1
25730,903,15,5,1,1
25830,904,6,4,1,1
25912,104,1,3,1,1
25948,904,10,1,1,1
26013,901,13,1,1,1
26043,906,5,1,1,1
26048,100,14,4,1,1
26207,105,12,2,1,1
26311,104,5,5,1,1
26418,102,6,3,1,1
26492,100,12,2,1,1
26562,105,16,2,1,1
26581,900,11,2,1,1
26630,102,16,2,1,1
26689,906,11,2,1,1
26853,105,11,2,1,1
27032,904,1,1,1,1
27083,906,15,3,1,1
27087,902,11,2,1,1
27158,101,9,2,1,1
27172,104,3,2,1,1
27217,901,13,2,1,1
27348,101,12,6,1,1
27429,905,3,2,1,1
27434,101,4,1,1,1
27544,900,10,2,1,1
27557,906,14,3,1,1
27602,100,14,4,1,1
27625,104,10,2,1,1
27638,101,14,2,1,1
27680,100,1,2,1,1
27970,101,11,3,1,1
28023,906,14,3,1,1
28066,905,2,1,1,1
28106,904,13,3,1,1
28145,903,16,2,1,1
28150,105,14,2,1,1
28151,105,13,3,1,1
28273,104,2,1,1,1
28296,905,12,1,1,1
28298,900,15,4,1,1
28509,102,16,4,1,1
28534,103,13,5,1,1
28536,104,10,2,1,1
28750,102,16,2,1,1
28812,101,16,3,1,1
28845,904,12,1,1,1
28869,101,11,1,1,1
28903,903,12,4,1,1
28909,902,11,5,1,1
29027,902,12,4,1,1
29166,101,4,1,1,1
29335,103,14,3,1,1
29423,105,11,4,1,1
29449,900,11,3,1,1
29456,901,9,1,1,1
29582,102,14,1,1,1
29600,904,12,7,1,1
29672,102,16,4,1,1
29844,100,15,2,1,1
29900,103,13,2,1,1
29947,903,15,3,1,1
29988,100,3,1,1,1
30081,103,16,4,1,1
30171,905,3,1,1,1
30280,103,16,2,1,1
30329,900,15,5,1,1
30420,901,3,4,1,1
30422,904,9,1,1,1
30444,906,7,1,1,1
30565,103,16,5,1,1
30718,104,10,2,1,1
30723,103,16,5,1,1
30772,102,10,1,1,1
30808,101,16,5,1,1
30824,902,14,2,1,1
30838,104,12,3,1,1
30852,903,13,2,1,1
30904,100,14,2,1,1
30947,105,12,2,1,1
30998,901,1,1,1,1
31112,102,10,4,1,1
31127,102,15,2,1,1
31145,906,8,1,1,1
31278,905,16,4,1,1
31385,900,16,2,1,1
31413,905,12,2,1,1
31696,104,5,2,1,1
31796,101,15,3,1,1
31902,901,11,2,1,1
31922,104,7,3,1,1
31981,906,5,1,1,1
31983,903,15,6,1,1
31987,906,7,1,1,1
32040,104,16,3,1,1
32128,105,8,2,1,1
32184,102,13,4,1,1
32430,900,11,2,1,1
32440,905,5,1,1,1
32448,102,15,4,1,1
32473,902,12,3,1,1
32560,102,14,2,1,1
32605,103,15,3,1,1
32614,102,8,2,1,1
32701,102,16,3,1,1
32727,102,10,4,1,1
32879,105,7,1,1,1
33012,105,11,2,1,1
33057,905,3,1,1,1
33086,104,12,3,1,1
33210,903,4,1,1,1
33359,102,16,3,1,1
33363,105,15,4,1,1
33377,101,16,2,1,1
33510,903,16,2,1,1
33688,100,2,1,1,1
33758,905,6,2,1,1
33776,105,11,4,1,1
33819,905,2,1,1,1
33872,901,5,1,1,1
33929,901,7,3,1,1
34090,101,16,4,1,1
34245,103,14,3,1,1
34254,101,14,1,1,1
34288,902,16,3,1,1
34479,105,3,1,1,1
34480,906,3,1,1,1
34541,105,12,1,1,1
34668,901,8,2,1,1
34737,105,13,2,1,1
34757,905,2,1,1,1
34790,901,4,2,1,1
34937,902,8,2,1,1
34977,100,14,2,1,1
35044,105,13,4,1,1
35059,104,13,4,1,1
35127,903,3,1,1,1
35129,900,11,1,1,1
35190,100,12,4,1,1
35219,903,12,3,1,1
35265,903,10,2,1,1
35422,100,15,3,1,1
35555,100,11,2,1,1
35714,101,11,2,1,1
35788,904,5,1,1,1
35790,902,5,1,1,1
35946,102,13,2,1,1
35967,904,15,2,1,1
35981,904,15,2,1,1
36011,105,12,2,1,1
36114,104,16,4,1,1
36120,905,6,5,1,1
36136,905,12,4,1,1
36202,905,13,2,1,1
36239,104,4,2,1,1
36397,102,13,1,1,1
36506,904,6,1,1,1
36687,104,2,1,1,1
36743,102,12,2,1,1
36834,900,14,3,1,1
36870,900,13,3,1,1
36885,103,14,4,1,1
36905,902,11,1,1,1
37287,902,4,1,1,1
37292,902,1,3,1,1
37326,901,2,1,1,1
37330,100,12,3,1,1
37332,903,12,1,1,1
37342,903,13,2,1,1
37397,902,9,1,1,1
37419,900,16,2,1,1
37546,104,1,1,1,1
37571,100,13,3,1,1
37643,905,11,3,1,1
37660,904,6,4,1,1
37685,103,11,1,1,1
37764,903,6,1,1,1
37770,903,8,1,1,1
37773,901,2,2,1,1
37895,105,10,1,1,1
37913,103,14,3,1,1
37998,902,12,2,1,1
38224,905,6,1,1,1
38281,903,1,2,1,1
38355,105,4,1,1,1
38425,104,4,3,1,1
38443,901,12,4,1,1
38459,103,10,1,1,1
38488,902,13,5,1,1
38537,903,12,5,1,1
38542,905,4,2,1,1
38571,100,13,3,1,1
38632,905,10,1,1,1
38672,103,16,3,1,1
38710,905,12,3,1,1
38792,900,9,2,1,1
38858,904,11,1,1,1
38913,903,10,2,1,1
38964,101,16,4,1,1
39009,906,11,2,1,1
39168,102,12,2,1,1
39173,904,10,1,1,1
39512,105,8,1,1,1
39550,103,3,4,1,1
39576,104,14,4,1,1
39648,903,15,2,1,1
39720,902,3,1,1,1
39760,105,13,5,1,1
39834,906,12,2,1,1
39951,104,13,3,1,1
39990,901,8,1,1,1
40021,901,5,1,1,1
40036,102,12,6,1,1
40133,101,13,5,1,1
40389,100,6,2,1,1
40496,902,14,4,1,1
40544,105,12,2,1,1
40655,102,12,2,1,1
40808,906,11,1,1,1
40813,100,5,1,1,1
41071,902,15,5,1,1
41079,906,15,2,1,1
41101,905,6,2,1,1
41185,904,1,1,1,1
41237,105,13,6,1,1
41271,105,15,4,1,1
41282,905,11,6,1,1
41363,102,9,7,1,1
41386,900,14,1,1,1
41422,902,13,1,1,1
41570,103,10,3,1,1
41654,906,10,2,1,1
41695,905,4,1,1,1
41710,102,15,2,1,1
41718,901,7,1,1,1
41772,104,1,1,1,1
41811,102,15,3,1,1
41887,104,10,3,1,1
41909,901,5,1,1,1
42080,903,14,3,1,1
42133,901,6,3,1,1
42164,906,16,2,1,1
42436,906,15,2,1,1
42527,900,12,3,1,1
42620,102,15,2,1,1
42704,100,15,3,1,1
42742,105,10,2,1,1
42767,102,16,2,1,1
42784,103,14,4,1,1
43051,105,16,4,1,1
43190,901,7,1,1,1
43304,904,8,1,1,1
43823,906,16,5,1,1
43841,101,14,1,1,1
43959,904,15,3,1,1
43987,104,3,3,1,1
44093,104,13,5,1,1
44116,902,2,1,1,1
44135,101,12,5,1,1
44273,900,13,1,1,1
44287,105,1,2,1,1
44558,104,13,3,1,1
44585,105,10,2,1,1
44671,104,10,4,1,1
44722,103,15,2,1,1
44726,900,9,1,1,1
44798,105,13,3,1,1
44822,100,14,3,1,1
44841,903,5,2,1,1
44962,900,11,1,1,1
45073,101,15,4,1,1
45168,906,11,4,1,1
45175,901,6,2,1,1
45190,100,15,4,1,1
45471,901,11,5,1,1
45503,901,13,4,1,1
45509,902,12,1,1,1
45618,902,12,4,1,1
45649,105,16,4,1,1
45650,102,3,2,1,1
45724,102,12,1,1,1
45752,101,16,4,1,1
45866,904,9,2,1,1
45946,102,14,2,1,1
45990,101,11,3,1,1
46040,100,14,3,1,1
46042,903,12,3,1,1
46105,903,3,1,1,1
46164,101,15,3,1,1
46276,100,12,3,1,1
46298,103,16,2,1,1
46481,100,16,3,1,1
46757,903,14,4,1,1
46781,105,16,6,1,1
46795,104,4,3,1,1
46796,905,10,2,1,1
46828,904,2,2,1,1
46879,104,10,2,1,1
46958,906,2,1,1,1
46986,102,14,3,1,1
47008,904,10,3,1,1
47035,103,5,3,1,1
47144,900,11,1,1,1
47268,902,12,2,1,1
47274,900,6,2,1,1
47298,103,5,1,1,1
47344,101,13,5,1,1
47469,100,12,2,1,1
47518,904,7,3,1,1
47621,101,16,3,1,1
47643,103,2,1,1,1
47648,104,12,2,1,1
47957,105,13,2,1,1
47978,100,13,2,1,1
48054,903,11,1,1,1
48058,906,16,4,1,1
48116,105,8,3,1,1
48198,104,16,1,1,1
48252,901,2,1,1,1
48274,100,10,1,1,1
48285,905,7,1,1,1
48312,101,14,3,1,1
48389,102,16,2,1,1
48401,104,10,2,1,1
48488,906,15,4,1,1
48492,101,16,3,1,1
48527,900,14,4,1,1
48608,103,13,3,1,1
48624,900,9,2,1,1
48733,104,1,1,1,1
48797,903,8,1,1,1
48925,901,7,3,1,1
48959,105,15,2,1,1
49017,104,2,1,1,1
49168,900,12,2,1,1
49175,100,12,2,1,1
49203,906,12,2,1,1
49262,103,16,3,1,1
49303,902,12,2,1,1
49370,103,16,4,1,1
49400,102,10,6,1,1
49413,900,5,1,1,1
49456,901,11,4,1,1
49566,904,11,1,1,1
49606,101,16,4,1,1
49621,905,8,2,1,1
49637,906,11,2,1,1
49751,103,12,3,1,1
49867,903,11,1,1,1
50038,100,16,1,1,1
50177,105,13,4,1,1
50197,105,12,3,1,1
50401,105,13,2,1,1
50602,904,16,3,1,1
50621,104,12,1,1,1
50719,905,12,2,1,1
50789,101,16,4,1,1
50803,101,10,2,1,1
50886,100,16,4,1,1
50947,904,8,2,1,1
50962,104,3,3,1,1
51011,901,2,5,1,1
51318,901,11,2,1,1
51414,906,12,2,1,1
51599,901,12,2,1,1
51650,100,5,1,1,1
51661,903,14,2,1,1
51685,102,3,1,1,1
51819,905,13,5,1,1
51870,105,12,3,1,1
51908,906,13,3,1,1
52084,904,12,2,1,1
52130,102,11,3,1,1
52318,105,9,1,1,1
52460,100,13,4,1,1
52479,900,13,4,1,1
52491,102,15,2,1,1
52670,100,15,4,1,1
52712,904,10,1,1,1
52752,904,14,3,1,1
52758,903,10,1,1,1
52779,100,12,1,1,1
52902,100,1,1,1,1
52960,100,11,2,1,1
53000,102,12,1,1,1
53269,102,16,5,1,1
53317,900,12,2,1,1
53425,101,14,4,1,1
53479,102,16,3,1,1
53501,903,3,4,1,1
53582,102,11,1,1,1
53611,100,9,4,1,1
53624,100,15,2,1,1
53714,103,12,2,1,1
53731,905,1,2,1,1
53870,104,8,3,1,1
53991,103,8,1,1,1
53998,104,4,3,1,1
54129,102,16,4,1,1
54282,105,10,1,1,1
54446,100,16,4,1,1
54468,901,1,1,1,1
54652,105,11,1,1,1
54654,905,16,5,1,1
54815,104,13,6,1,1
54977,104,11,1,1,1
55049,901,11,2,1,1
55100,901,7,3,1,1
55130,104,1,1,1,1
55153,904,15,4,1,1
55213,905,13,2,1,1
55324,900,6,4,1,1
55395,102,16,1,1,1
55413,105,5,2,1,1
55437,102,15,2,1,1
55636,100,16,5,1,1
55658,903,15,4,1,1
55755,103,13,2,1,1
55811,903,7,6,1,1
55812,105,15,2,1,1
55918,101,16,5,1,1
55927,906,3,1,1,1
56212,903,16,5,1,1
56215,905,3,1,1,1
56241,904,14,3,1,1
56262,101,10,3,1,1
56309,906,10,2,1,1
56344,102,4,2,1,1
56382,100,16,3,1,1
56392,105,16,2,1,1
56395,104,1,1,1,1
56428,900,12,4,1,1
56502,904,13,2,1,1
56550,102,16,3,1,1
56592,102,11,2,1,1
56649,901,11,2,1,1
56683,902,11,2,1,1
56730,102,16,4,1,1
56748,902,11,2,1,1
56751,103,15,2,1,1
57073,905,4,5,1,1
57161,104,11,3,1,1
57228,900,16,2,1,1
57236,103,14,2,1,1
57290,102,7,1,1,1
57374,102,12,1,1,1
57540,102,12,4,1,1
57605,900,8,2,1,1
58204,102,5,1,1,1
58391,903,8,2,1,1
58438,103,9,2,1,1
58453,905,4,3,1,1
58458,102,14,2,1,1
58473,103,16,5,1,1
58491,902,7,1,1,1
58494,901,2,1,1,1
58716,900,13,4,1,1
58805,101,15,4,1,1
59052,103,16,5,1,1
59173,902,9,4,1,1
59352,104,12,4,1,1
59374,104,8,2,1,1
59380,104,13,2,1,1
59486,101,16,2,1,1
59580,904,12,2,1,1
59598,905,10,1,1,1
59599,901,1,1,1,1
59622,906,2,1,1,1
59659,904,9,1,1,1
59777,906,16,2,1,1
59836,100,13,2,1,1
59872,100,2,1,1,1
59894,903,16,2,1,1
59944,900,14,3,1,1
59994,905,5,1,1,1
60001,102,13,2,1,1
60003,105,8,1,1,1
60032,900,10,2,1,1
60143,104,12,2,1,1
60259,901,11,2,1,1
60292,101,15,2,1,1
60376,101,15,2,1,1
60432,901,10,1,1,1
60468,905,12,2,1,1
60483,102,16,1,1,1
60489,102,6,1,1,1
60520,101,15,4,1,1
60552,102,1,3,1,1
60564,100,16,5,1,1
60643,103,11,2,1,1
60689,902,12,4,1,1
60797,104,2,2,1,1
61036,905,7,3,1,1
61047,906,8,1,1,1
61053,101,6,1,1,1
61324,901,7,2,1,1
61358,903,2,1,1,1
61428,103,14,4,1,1
61556,906,10,4,1,1
61671,905,13,2,1,1
61833,906,9,2,1,1
61847,100,12,2,1,1
61929,904,7,3,1,1
61960,904,10,1,1,1
61972,100,16,3,1,1
62069,105,7,1,1,1
62096,905,1,1,1,1
62198,105,15,3,1,1
62208,901,6,3,1,1
62268,100,10,1,1,1
62359,105,13,2,1,1
62403,904,15,2,1,1
62474,102,11,3,1,1
62642,900,10,2,1,1
62689,903,11,2,1,1
62798,101,2,4,1,1
62850,100,2,1,1,1
62852,905,11,2,1,1
62869,100,3,1,1,1
62966,105,11,3,1,1
63033,102,11,4,1,1
63052,105,1,2,1,1
63079,103,16,4,1,1
63109,900,11,2,1,1
63197,902,12,2,1,1
63348,900,12,2,1,1
63369,105,15,4,1,1
63400,905,2,2,1,1
63676,101,14,2,1,1
63734,905,11,6,1,1
63787,100,16,3,1,1
63794,901,10,3,1,1
64031,103,6,2,1,1
64097,900,15,3,1,1
64118,100,15,3,1,1
64145,105,16,2,1,1
64155,102,13,1,1,1
64332,103,4,2,1,1
64347,103,13,3,1,1
64350,902,16,1,1,1
64369,104,13,4,1,1
64408,904,15,2,1,1
64409,903,14,2,1,1
64548,905,14,2,1,1
64562,100,7,2,1,1
64719,904,12,2,1,1
64784,906,15,3,1,1
64988,100,1,1,1,1
64997,905,2,4,1,1
65025,900,8,1,1,1
65076,904,12,4,1,1
65115,100,13,4,1,1
65281,904,15,2,1,1
65288,105,15,3,1,1
65309,903,7,1,1,1
65498,902,13,4,1,1
65519,901,11,2,1,1
65600,905,16,1,1,1
65786,902,12,1,1,1
65819,904,6,1,1,1
65845,900,12,3,1,1
65855,104,2,3,1,1
65910,102,4,2,1,1
66047,905,15,7,1,1
66061,102,14,1,1,1
66066,100,14,4,1,1
66155,906,15,2,1,1
66232,100,10,3,1,1
66461,902,10,2,1,1
66642,904,12,2,1,1
66719,906,15,3,1,1
66740,903,12,3,1,1
66749,903,9,4,1,1
66751,102,10,3,1,1
66823,904,15,6,1,1
66844,905,3,1,1,1
66935,104,8,1,1,1
66994,105,11,2,1,1
67006,903,6,1,1,1
67096,901,8,4,1,1
67103,102,12,5,1,1
67133,900,12,2,1,1
67243,901,11,4,1,1
67355,103,15,2,1,1
67418,902,12,2,1,1
67508,105,15,3,1,1
67541,101,8,1,1,1
67578,903,10,2,1,1
67591,103,7,4,1,1
67596,906,7,2,1,1
67638,906,16,6,1,1
67642,101,11,1,1,1
67811,102,11,1,1,1
67852,102,16,5,1,1
68012,101,14,2,1,1
68085,904,12,1,1,1
68148,105,10,2,1,1
68183,906,16,2,1,1
68315,104,12,2,1,1
68427,901,1,1,1,1
68456,902,11,1,1,1
68533,903,14,4,1,1
68584,903,12,1,1,1
68610,905,5,1,1,1
68673,100,12,3,1,1
68793,103,10,2,1,1
68883,902,4,2,1,1
68936,903,12,2,1,1
69090,105,15,5,1,1
69219,103,5,2,1,1
69237,902,8,1,1,1
69480,902,16,4,1,1
69681,901,10,3,1,1
69713,103,16,4,1,1
69720,901,1,1,1,1
70032,105,16,2,1,1
70034,901,1,6,1,1
70099,100,11,2,1,1
70177,905,1,1,1,1
70278,900,12,2,1,1
70381,100,13,2,1,1
70383,102,1,1,1,1
70413,102,16,3,1,1
70464,904,4,2,1,1
70645,103,16,2,1,1
70656,904,11,6,1,1
70721,902,15,1,1,1
70806,100,14,2,1,1
70950,905,12,1,1,1
70983,102,15,4,1,1
71042,102,13,2,1,1
71108,902,12,3,1,1
71156,905,1,5,1,1
71287,904,13,2,1,1
71342,104,2,2,1,1
71397,100,12,2,1,1
71400,903,16,4,1,1
71403,100,16,2,1,1
71476,101,16,3,1,1
71939,900,12,3,1,1
72092,903,13,3,1,1
72097,903,14,3,1,1
72180,904,15,2,1,1
72297,105,13,3,1,1
72571,902,11,2,1,1
72621,905,2,1,1,1
72633,102,12,2,1,1
72694,103,3,1,1,1
72748,905,13,3,1,1
72778,101,11,2,1,1
72890,103,11,2,1,1
72905,103,10,3,1,1
72919,905,12,2,1,1
73007,105,12,2,1,1
73112,900,13,1,1,1
73124,103,12,2,1,1
73175,100,5,2,1,1
73495,904,12,1,1,1
73528,900,6,2,1,1
73545,103,11,1,1,1
73591,900,6,2,1,1
73733,102,5,4,1,1
73970,904,1,1,1,1
74008,100,14,2,1,1
74075,902,12,3,1,1
74138,102,16,2,1,1
74156,101,7,1,1,1
74169,102,12,1,1,1
74246,102,13,4,1,1
74287,903,11,1,1,1
74293,905,8,1,1,1
74309,104,13,6,1,1
74398,904,13,6,1,1
74471,105,16,1,1,1
74485,101,9,2,1,1
74523,102,3,3,1,1
74570,906,1,1,1,1
74699,901,1,1,1,1
74733,105,13,5,1,1
74877,105,12,2,1,1
74899,105,2,1,1,1
74956,901,14,4,1,1
74981,906,13,3,1,1
74991,104,11,5,1,1
75206,105,16,5,1,1
75298,904,10,2,1,1
75312,103,8,2,1,1
75347,902,1,1,1,1
75370,100,2,2,1,1
75544,105,11,4,1,1
75641,102,2,1,1,1
75655,904,15,3,1,1
75708,905,7,2,1,1
75987,105,16,2,1,1
76010,903,11,2,1,1
76067,105,15,5,1,1
76105,902,6,3,1,1
76512,101,4,1,1,1
76685,903,6,1,1,1
76813,103,16,4,1,1
76964,103,16,1,1,1
77162,906,12,4,1,1
77250,100,15,2,1,1
77279,101,5,3,1,1
77288,904,9,3,1,1
77305,905,6,1,1,1
77359,103,7,3,1,1
77410,100,11,5,1,1
77422,102,15,2,1,1
77424,103,11,1,1,1
77724,904,3,1,1,1
77743,104,9,2,1,1
77928,906,16,2,1,1
77987,900,7,4,1,1
78023,104,14,4,1,1
78034,900,5,2,1,1
78110,104,10,5,1,1
78131,905,2,4,1,1
78171,100,4,1,1,1
78229,105,9,4,1,1
78235,901,7,4,1,1
78545,103,10,5,1,1
