variable_names,gqtotals,gqtype,gqtype
154,34,0,34
155,0,0,0
156,12,0,12
157,101,0,101
158,12,0,12
159,100,0,100
160,0,0,0
161,23,0,23
162,10,0,10
163,2,0,2
164,2,0,2
165,0,0,0
166,16,0,16
167,161,160,1
168,3,0,3
169,0,0,0
170,334,28,306
171,0,0,0
172,32,0,32
173,22,6,16
174,20,0,20
175,107,0,107
176,63,0,63
177,0,0,0
178,154,40,114
179,0,0,0
180,743,0,743
181,2727,0,2727
182,2747,403,2344
183,435,0,435
184,487,131,356
185,226,21,205
186,189,0,189
187,17,0,17
188,0,0,0
189,0,0,0
190,17,15,2
191,0,0,0
192,0,0,0
193,193,193,0
194,6,0,6
195,13,0,13
196,34,0,34
197,51,20,31
198,264,0,264
199,16,0,16
200,0,0,0
201,35,0,35
202,166,0,166
203,68,10,58
204,224,48,176
205,0,0,0
206,337,0,337
207,52,0,52
208,56,30,26
209,10,0,10
210,1648,463,1185
211,128,0,128
212,1013,363,650
213,117,0,117
214,40,0,40
215,12,0,12
216,0,0,0
217,20,0,20
218,88,0,88
219,56,0,56
220,176,35,141
221,0,0,0
222,0,0,0
223,15,0,15
224,12,0,12
225,6,0,6
226,24,0,24
227,123,0,123
228,493,483,10
229,78,0,78
230,0,0,0
231,149,143,6
232,8,8,0
233,107,107,0
234,1,0,1
235,397,0,397
236,35,0,35
237,88,0,88
238,102,0,102
239,410,323,87
240,58,0,58
241,348,0,348
242,43,0,43
243,22,0,22
244,337,238,99
245,2,0,2
246,122,0,122
247,25,0,25
248,179,0,179
249,0,0,0
250,70,0,70
251,337,0,337
252,485,0,485
253,356,281,75
254,7,0,7
255,155,0,155
256,64,0,64
257,0,0,0
258,61,0,61
259,250,66,184
260,157,0,157
261,207,155,52
262,11,0,11
263,39,0,39
264,146,36,110
265,2,0,2
266,45,0,45
267,323,32,291
268,271,0,271
269,302,0,302
270,290,0,290
271,731,509,222
272,12,0,12
273,150,0,150
274,107,0,107
275,0,0,0
276,889,34,855
277,0,0,0
278,25,0,25
279,453,0,453
280,7,0,7
281,0,0,0
282,11,0,11
283,167,0,167
284,3,0,3
285,619,516,103
286,142,0,142
287,427,0,427
288,8,0,8
289,17,0,17
290,0,0,0
291,101,29,72
292,372,0,372
293,28,0,28
294,34,0,34
295,0,0,0
296,15,0,15
297,968,968,0
298,930,911,19
299,0,0,0
300,0,0,0
301,0,0,0
302,29,0,29
303,62,0,62
304,0,0,0
305,3,0,3
306,12,0,12
307,371,107,264
308,1572,728,844
309,556,0,556
310,3,0,3
311,815,0,815
312,1119,0,1119
313,2344,0,2344
314,0,0,0
315,20,0,20
316,0,0,0
317,0,0,0
318,4,0,4
319,20,0,20
320,0,0,0
321,8,0,8
322,0,0,0
323,534,213,321
324,550,0,550
325,199,0,199
326,3,0,3
327,202,8,194
328,698,688,10
329,126,121,5
330,20,0,20
331,6,0,6
332,525,0,525
333,4,0,4
334,0,0,0
335,0,0,0
336,0,0,0
337,0,0,0
338,28,0,28
339,0,0,0
340,13,0,13
341,3,0,3
342,0,0,0
343,0,0,0
344,0,0,0
345,0,0,0
346,0,0,0
347,1,0,1
348,6,0,6
349,0,0,0
350,10,0,10
351,0,0,0
352,3,0,3
353,7,7,0
354,0,0,0
355,6,0,6
356,0,0,0
357,0,0,0
358,0,0,0
359,0,0,0
360,1,0,1
361,7,7,0
362,0,0,0
363,0,0,0
364,0,0,0
365,7,0,7
366,0,0,0
367,0,0,0
368,0,0,0
369,0,0,0
370,0,0,0
371,0,0,0
372,0,0,0
373,0,0,0
374,0,0,0
375,53,0,53
376,13,0,13
377,7,0,7
378,0,0,0
379,0,0,0
380,0,0,0
381,0,0,0
382,0,0,0
383,10,0,10
384,6,0,6
385,12,0,12
386,0,0,0
388,0,0,0
389,297,275,22
390,252,0,252
391,2,0,2
393,0,0,0
394,0,0,0
395,0,0,0
396,0,0,0
397,1,0,1
398,0,0,0
399,7,0,7
400,21,0,21
401,0,0,0
402,1,0,1
403,5,0,5
404,0,0,0
405,0,0,0
406,0,0,0
407,0,0,0
408,0,0,0
409,0,0,0
410,0,0,0
411,0,0,0
412,14,0,14
413,1,0,1
414,0,0,0
415,14,0,14
416,208,200,8
417,0,0,0
418,3,0,3
419,0,0,0
420,3,0,3
421,415,414,1
422,0,0,0
423,18,0,18
424,278,270,8
425,36,0,36
426,115,0,115
427,233,0,233
428,12,0,12
429,0,0,0
430,3,0,3
431,3,0,3
432,0,0,0
433,23,0,23
434,0,0,0
435,54,0,54
436,0,0,0
437,0,0,0
438,0,0,0
439,0,0,0
440,0,0,0
441,614,492,122
442,13,0,13
443,0,0,0
444,0,0,0
445,0,0,0
446,7,0,7
447,51,0,51
448,10,0,10
449,0,0,0
450,0,0,0
451,0,0,0
452,81,0,81
453,113,0,113
454,0,0,0
455,0,0,0
456,0,0,0
457,86,0,86
458,12,10,2
459,0,0,0
460,0,0,0
461,0,0,0
462,0,0,0
463,0,0,0
464,0,0,0
465,0,0,0
466,0,0,0
467,0,0,0
468,16,0,16
469,0,0,0
470,0,0,0
471,8,0,8
472,0,0,0
473,0,0,0
474,0,0,0
475,758,578,180
476,4,0,4
477,0,0,0
478,7,0,7
479,0,0,0
480,7,0,7
481,0,0,0
482,16,0,16
483,0,0,0
484,12,11,1
485,10,0,10
486,7,0,7
487,0,0,0
488,40,40,0
489,0,0,0
490,3,0,3
491,2,0,2
492,53,0,53
494,0,0,0
495,0,0,0
496,0,0,0
497,13,0,13
498,0,0,0
499,191,191,0
500,0,0,0
501,0,0,0
502,0,0,0
503,3,0,3
504,6,0,6
505,12,0,12
506,0,0,0
507,0,0,0
508,0,0,0
509,9,0,9
510,12,0,12
511,0,0,0
512,0,0,0
513,8,0,8
514,0,0,0
515,0,0,0
516,0,0,0
517,13,13,0
518,11,0,11
519,0,0,0
520,0,0,0
521,0,0,0
522,0,0,0
523,0,0,0
524,0,0,0
525,0,0,0
526,31,31,0
527,12,0,12
528,0,0,0
529,0,0,0
530,0,0,0
531,6,0,6
532,9,0,9
533,0,0,0
534,0,0,0
535,0,0,0
536,0,0,0
537,2,0,2
538,0,0,0
539,0,0,0
540,7,0,7
541,0,0,0
542,0,0,0
543,0,0,0
544,0,0,0
545,351,340,11
546,0,0,0
547,0,0,0
548,0,0,0
549,0,0,0
550,0,0,0
552,7,0,7
553,9,0,9
554,0,0,0
555,0,0,0
556,5,0,5
557,0,0,0
558,0,0,0
559,10,0,10
560,0,0,0
561,159,159,0
562,0,0,0
563,198,198,0
564,0,0,0
565,2,0,2
566,0,0,0
567,0,0,0
568,0,0,0
569,0,0,0
570,0,0,0
571,9,0,9
572,0,0,0
573,81,81,0
574,0,0,0
575,7,0,7
576,2,0,2
577,0,0,0
578,14,0,14
579,0,0,0
580,0,0,0
581,0,0,0
582,0,0,0
583,7,0,7
584,0,0,0
585,0,0,0
586,0,0,0
587,0,0,0
588,0,0,0
589,0,0,0
590,0,0,0
591,9,0,9
592,0,0,0
593,0,0,0
594,568,568,0
595,6,0,6
596,1,0,1
597,12,0,12
598,0,0,0
599,0,0,0
600,0,0,0
601,191,191,0
602,1,0,1
603,7,0,7
604,9,0,9
605,0,0,0
606,0,0,0
607,0,0,0
608,17,10,7
609,318,318,0
610,0,0,0
611,4,0,4
612,8,0,8
613,45,45,0
614,0,0,0
615,0,0,0
616,10,0,10
617,27,11,16
618,0,0,0
619,4,0,4
620,0,0,0
621,8,0,8
622,4,0,4
623,2,0,2
624,10,0,10
625,0,0,0
626,5,0,5
627,695,695,0
628,498,498,0
629,10,0,10
630,0,0,0
631,0,0,0
632,7,0,7
633,29,0,29
634,0,0,0
635,3,0,3
636,9,0,9
637,0,0,0
638,0,0,0
639,0,0,0
640,14,0,14
641,0,0,0
642,180,177,3
643,0,0,0
644,10,0,10
645,0,0,0
646,0,0,0
648,0,0,0
649,0,0,0
650,0,0,0
651,11,0,11
653,0,0,0
654,0,0,0
655,0,0,0
656,0,0,0
657,222,222,0
658,0,0,0
659,0,0,0
660,10,10,0
661,175,0,175
662,127,13,114
663,15,0,15
664,0,0,0
665,60,0,60
666,291,0,291
667,0,0,0
668,0,0,0
669,379,371,8
670,17,0,17
671,0,0,0
672,0,0,0
673,411,407,4
674,8,0,8
675,26,0,26
676,250,6,244
677,0,0,0
678,89,0,89
679,388,382,6
680,7,0,7
681,10,0,10
682,131,131,0
683,15,0,15
684,6,6,0
685,1971,0,1971
686,0,0,0
687,7,0,7
688,14,0,14
689,24,0,24
690,0,0,0
691,10,0,10
692,0,0,0
693,0,0,0
694,0,0,0
695,5,0,5
696,11,0,11
697,0,0,0
698,17,0,17
699,9,0,9
700,0,0,0
701,10,0,10
702,0,0,0
703,0,0,0
704,0,0,0
705,0,0,0
706,0,0,0
707,17,0,17
708,0,0,0
709,7,0,7
710,0,0,0
711,3,0,3
712,0,0,0
713,0,0,0
714,0,0,0
715,0,0,0
716,0,0,0
717,346,219,127
718,0,0,0
719,0,0,0
720,0,0,0
721,0,0,0
722,4,0,4
723,0,0,0
724,2,0,2
725,0,0,0
726,0,0,0
727,20,0,20
728,43,23,20
729,0,0,0
730,0,0,0
731,0,0,0
732,0,0,0
733,0,0,0
734,0,0,0
735,0,0,0
736,10,0,10
737,0,0,0
738,0,0,0
739,0,0,0
740,6,0,6
741,0,0,0
742,9,0,9
743,10,0,10
744,8,0,8
745,0,0,0
746,0,0,0
747,0,0,0
748,0,0,0
749,5,0,5
750,0,0,0
751,0,0,0
752,8,0,8
753,0,0,0
754,0,0,0
755,7,0,7
756,5,0,5
757,2,0,2
758,0,0,0
759,0,0,0
760,0,0,0
761,0,0,0
762,10,10,0
763,0,0,0
764,24,0,24
765,6,0,6
766,12,12,0
767,8,0,8
768,0,0,0
769,10,0,10
770,23,0,23
771,0,0,0
772,0,0,0
773,9,0,9
774,0,0,0
775,0,0,0
776,0,0,0
777,9,0,9
778,0,0,0
779,202,0,202
780,8,0,8
781,14,12,2
782,8,0,8
783,11,0,11
784,5,0,5
785,6,0,6
786,8,0,8
787,13,0,13
788,0,0,0
789,0,0,0
790,0,0,0
791,0,0,0
792,394,376,18
793,0,0,0
794,3,0,3
795,0,0,0
796,11,0,11
797,5,5,0
798,8,0,8
799,0,0,0
800,15,0,15
801,0,0,0
802,0,0,0
803,16,5,11
804,0,0,0
805,7,0,7
806,0,0,0
807,7,0,7
808,18,0,18
809,24,0,24
810,72,0,72
811,0,0,0
812,0,0,0
813,0,0,0
814,22,0,22
815,3,0,3
816,135,115,20
817,0,0,0
818,238,0,238
819,15,0,15
820,0,0,0
821,42,0,42
822,6,6,0
823,192,0,192
824,0,0,0
825,453,303,150
827,96,0,96
828,0,0,0
829,0,0,0
830,14,0,14
831,0,0,0
832,0,0,0
833,16,0,16
834,0,0,0
835,0,0,0
836,0,0,0
837,10,0,10
838,0,0,0
839,169,0,169
840,0,0,0
841,6,0,6
842,0,0,0
843,12,0,12
844,4,0,4
845,14,0,14
846,51,0,51
847,84,15,69
848,0,0,0
849,0,0,0
850,0,0,0
851,0,0,0
852,0,0,0
853,0,0,0
854,0,0,0
855,0,0,0
856,0,0,0
857,253,0,253
858,0,0,0
859,5,0,5
860,0,0,0
861,0,0,0
862,12,0,12
863,39,0,39
864,0,0,0
865,37,0,37
866,0,0,0
867,512,378,134
868,15,5,10
869,12,0,12
870,0,0,0
871,0,0,0
872,0,0,0
873,337,0,337
874,8,0,8
875,41,20,21
876,4,0,4
877,0,0,0
878,0,0,0
879,0,0,0
880,53,0,53
881,0,0,0
882,3,0,3
883,0,0,0
884,141,0,141
885,0,0,0
886,10,0,10
887,4,0,4
888,257,242,15
889,0,0,0
890,87,73,14
891,0,0,0
892,0,0,0
893,13,0,13
894,0,0,0
895,6,0,6
896,0,0,0
897,193,0,193
898,423,0,423
899,1175,1129,46
900,0,0,0
901,0,0,0
902,68,59,9
903,0,0,0
904,6,0,6
905,14,0,14
906,0,0,0
907,829,523,306
908,0,0,0
909,6,0,6
910,70,70,0
911,0,0,0
912,6,6,0
913,0,0,0
914,0,0,0
915,0,0,0
916,6,0,6
917,7,0,7
918,0,0,0
919,0,0,0
920,0,0,0
921,6,6,0
922,23,21,2
923,23,6,17
924,0,0,0
925,89,68,21
926,7,7,0
927,0,0,0
928,0,0,0
929,0,0,0
930,0,0,0
931,0,0,0
932,0,0,0
933,0,0,0
934,5,0,5
935,4,0,4
936,0,0,0
937,0,0,0
938,0,0,0
939,0,0,0
940,0,0,0
941,0,0,0
942,0,0,0
943,0,0,0
944,5,0,5
945,0,0,0
946,0,0,0
947,0,0,0
948,0,0,0
949,0,0,0
950,0,0,0
951,10,6,4
952,20,0,20
953,0,0,0
954,0,0,0
955,0,0,0
956,16,0,16
957,22,8,14
958,0,0,0
959,6,0,6
960,0,0,0
961,18,0,18
962,10,10,0
963,4,0,4
964,7,0,7
965,29,0,29
966,324,288,36
967,42,6,36
968,0,0,0
969,165,119,46
970,117,117,0
971,1205,1167,38
972,38,0,38
973,446,446,0
974,0,0,0
975,0,0,0
976,662,526,136
977,503,278,225
978,271,266,5
979,64,0,64
980,208,0,208
981,2,0,2
982,783,586,197
983,158,0,158
984,319,209,110
985,1,0,1
986,0,0,0
987,0,0,0
988,0,0,0
991,5,0,5
992,34,6,28
993,247,0,247
994,12,0,12
995,0,0,0
996,7,0,7
997,0,0,0
998,1,0,1
999,7,0,7
1000,486,0,486
1001,1082,234,848
1005,500,0,500
1006,4,0,4
1007,0,0,0
1008,0,0,0
1009,245,0,245
1010,0,0,0
1011,31,0,31
1012,1,0,1
1013,0,0,0
1014,56,0,56
1015,39,0,39
1016,232,0,232
1017,28,6,22
1018,129,0,129
1019,79,0,79
1020,74,74,0
1021,109,0,109
1022,25,0,25
1023,118,0,118
1024,59,0,59
1025,54,0,54
1026,163,0,163
1027,947,922,25
1028,0,0,0
1029,0,0,0
1030,0,0,0
1031,514,0,514
1032,189,189,0
1033,1,0,1
1034,0,0,0
1035,21,0,21
1036,341,0,341
1037,0,0,0
1038,304,0,304
1039,198,0,198
1040,84,0,84
1041,304,240,64
1042,198,0,198
1043,118,0,118
1044,0,0,0
1045,261,0,261
1046,0,0,0
1047,0,0,0
1048,326,0,326
1049,0,0,0
1050,0,0,0
1051,312,127,185
1053,428,370,58
1054,73,9,64
1055,0,0,0
1056,0,0,0
1057,7,0,7
1058,137,0,137
1059,28,0,28
1060,1,0,1
1061,0,0,0
1062,0,0,0
1063,126,0,126
1064,0,0,0
1065,0,0,0
1066,322,88,234
1067,0,0,0
1068,393,66,327
1069,69,15,54
1070,0,0,0
1071,12,0,12
1072,0,0,0
1073,0,0,0
1074,0,0,0
1075,0,0,0
1076,0,0,0
1077,0,0,0
1078,0,0,0
1079,37,0,37
1080,278,237,41
1081,8,0,8
1082,32,32,0
1083,0,0,0
1084,18,0,18
1085,85,72,13
1086,400,387,13
1087,0,0,0
1088,685,0,685
1089,25,0,25
1091,5,0,5
1092,276,0,276
1093,8,0,8
1094,0,0,0
1095,2,0,2
1096,0,0,0
1097,537,0,537
1098,287,0,287
1099,0,0,0
1100,134,0,134
1101,59,0,59
1103,7,0,7
1104,27,0,27
1105,309,0,309
1106,132,131,1
1107,74,0,74
1108,202,0,202
1109,8,0,8
1110,50,0,50
1111,158,11,147
1112,0,0,0
1113,213,125,88
1114,26,0,26
1115,75,0,75
1116,395,0,395
1117,10,0,10
1118,106,0,106
1119,97,0,97
1120,64,0,64
1121,22,0,22
1122,528,0,528
1123,50,0,50
1124,30,0,30
1125,141,0,141
1126,23,0,23
1127,27,12,15
1128,36,0,36
1129,0,0,0
1130,28,0,28
1131,16,0,16
1132,172,0,172
1133,179,179,0
1134,142,0,142
1135,55,0,55
1136,0,0,0
1137,95,0,95
1138,25,0,25
1139,2375,0,2375
1140,148,19,129
1141,235,6,229
1142,76,0,76
1143,60,60,0
1144,813,787,26
1145,117,57,60
1146,8,0,8
1147,19,0,19
1148,0,0,0
1149,203,0,203
1150,0,0,0
1151,99,0,99
1152,0,0,0
1153,0,0,0
1154,42,0,42
1155,0,0,0
1156,97,0,97
1157,0,0,0
1158,10,0,10
1159,96,0,96
1160,104,23,81
1161,31,0,31
1162,0,0,0
1163,116,116,0
1164,428,409,19
1165,0,0,0
1166,0,0,0
1167,14,0,14
1168,8,0,8
1169,236,236,0
1170,366,347,19
1171,260,260,0
1172,11,0,11
1173,193,186,7
1174,0,0,0
1175,6,0,6
1176,174,174,0
1177,133,133,0
1178,299,291,8
1179,18,0,18
1180,182,148,34
1181,887,0,887
1182,493,150,343
1183,217,201,16
1184,25,0,25
1185,85,0,85
1186,40,0,40
1187,751,0,751
1188,859,849,10
1189,0,0,0
1190,0,0,0
1191,25,0,25
1192,10,0,10
1193,0,0,0
1194,0,0,0
1195,0,0,0
1196,10,0,10
1197,96,0,96
1198,1,0,1
1199,0,0,0
1200,32,0,32
1201,11,4,7
1202,0,0,0
1203,8,0,8
1204,11,0,11
1205,29,0,29
1206,11,0,11
1207,0,0,0
1208,197,197,0
1209,0,0,0
1210,139,0,139
1211,216,0,216
1212,10,0,10
1213,195,193,2
1214,56,17,39
1215,0,0,0
1216,24,0,24
1217,0,0,0
1218,0,0,0
1219,8,0,8
1220,0,0,0
1221,0,0,0
1222,5,0,5
1223,0,0,0
1224,0,0,0
1225,242,224,18
1226,0,0,0
1227,12,0,12
1228,0,0,0
1229,24,24,0
1230,0,0,0
1231,0,0,0
1232,0,0,0
1233,851,456,395
1234,15,0,15
1235,0,0,0
1236,11,0,11
1237,0,0,0
1238,0,0,0
1239,3,0,3
1240,6,0,6
1241,0,0,0
1242,203,203,0
1243,1,0,1
1244,11,0,11
1245,12,0,12
1246,0,0,0
1247,0,0,0
1248,7,0,7
1249,11,0,11
1250,1263,39,1224
1251,0,0,0
1252,0,0,0
1253,0,0,0
1254,242,189,53
1255,0,0,0
1256,16,0,16
1257,0,0,0
1258,10,0,10
1259,0,0,0
1260,3,0,3
1261,1,0,1
1262,0,0,0
1263,414,414,0
1264,124,0,124
1265,10,0,10
1266,0,0,0
1267,0,0,0
1268,24,0,24
1269,192,186,6
1270,185,185,0
1271,7,0,7
1272,186,181,5
1273,198,198,0
1274,852,852,0
1275,4,0,4
1276,4,0,4
1277,0,0,0
1278,0,0,0
1279,0,0,0
1280,362,362,0
1281,3,0,3
1282,0,0,0
1283,9,0,9
1284,739,670,69
1285,976,0,976
1286,0,0,0
1287,27,0,27
1288,0,0,0
1289,0,0,0
1290,3,0,3
1291,74,74,0
1292,0,0,0
1293,0,0,0
1294,13,0,13
1295,0,0,0
1296,0,0,0
1297,26,0,26
1298,0,0,0
1299,0,0,0
1300,8,0,8
1301,74,0,74
1302,17,8,9
1303,2,0,2
1304,231,0,231
1305,17,0,17
1306,0,0,0
1307,262,262,0
1308,20,0,20
1309,0,0,0
1310,0,0,0
1311,167,138,29
1312,0,0,0
1313,235,235,0
1314,66,0,66
1315,9,0,9
1316,11,0,11
1317,38,0,38
1318,0,0,0
1319,235,235,0
1320,32,22,10
1321,250,250,0
1322,0,0,0
1323,742,742,0
1324,1,0,1
1325,10,0,10
1326,0,0,0
1327,24,24,0
1328,0,0,0
1329,5,0,5
1330,0,0,0
1331,4,0,4
1332,45,7,38
1333,0,0,0
1334,0,0,0
1335,0,0,0
1336,2,0,2
1337,44,0,44
1338,17,11,6
1339,0,0,0
1340,0,0,0
1341,3,0,3
1342,186,0,186
1343,11091,11091,0
1344,212,0,212
1345,1,0,1
1346,0,0,0
1347,0,0,0
1348,0,0,0
1349,87,0,87
1350,67,0,67
1351,22,0,22
1352,0,0,0
1353,2,0,2
1354,11,0,11
1355,0,0,0
1356,0,0,0
1357,0,0,0
1358,0,0,0
1359,16,0,16
1360,9,0,9
1361,0,0,0
1362,0,0,0
1363,26,0,26
1364,0,0,0
1365,29,0,29
1366,56,0,56
1367,0,0,0
1368,0,0,0
1369,0,0,0
1370,0,0,0
1371,0,0,0
1372,24,0,24
1373,177,177,0
1374,45,0,45
1375,8,8,0
1376,2,0,2
1377,0,0,0
1378,82,0,82
1379,0,0,0
1380,0,0,0
1381,408,0,408
1382,0,0,0
1383,0,0,0
1384,45,0,45
1385,58,0,58
1386,52,0,52
1387,0,0,0
1388,0,0,0
1389,2,0,2
1390,0,0,0
1391,0,0,0
1392,238,0,238
1393,0,0,0
1394,9,0,9
1395,564,0,564
1396,0,0,0
1397,277,0,277
1398,713,0,713
1399,424,0,424
1400,488,0,488
1401,1082,0,1082
1402,41,0,41
1403,42,0,42
1404,276,0,276
1405,447,282,165
1406,78,8,70
1407,109,0,109
1408,954,365,589
1409,0,0,0
1410,20,0,20
1411,3,0,3
1412,0,0,0
1413,361,357,4
1414,10,0,10
1415,170,0,170
1416,487,0,487
1417,11,0,11
1418,83,0,83
1419,149,0,149
1420,1389,0,1389
1421,20,9,11
1422,58,0,58
1423,0,0,0
1424,7,0,7
1425,52,0,52
1426,0,0,0
1427,0,0,0
1428,23,0,23
1429,0,0,0
1430,104,0,104
1431,0,0,0
1432,43,0,43
1433,0,0,0
1434,189,155,34
1435,0,0,0
1436,0,0,0
1437,117,0,117
1438,21,13,8
1439,0,0,0
1440,7,0,7
1441,49,0,49
1442,2,0,2
1443,31,0,31
1444,61,0,61
1445,148,93,55
1446,50,0,50
1447,0,0,0
1448,18,0,18
1449,8,0,8
1450,48,0,48
1451,129,10,119
1452,0,0,0
1453,133,133,0
1454,10,0,10
1455,126,0,126
1456,101,0,101
1457,294,10,284
1458,257,0,257
1459,0,0,0
1460,8,0,8
1461,4,0,4
1462,29,0,29
1463,6,0,6
1464,14,0,14
1465,11,0,11
1466,2,0,2
1467,0,0,0
1468,86,0,86
1469,104,0,104
1470,0,0,0
1471,15,0,15
1472,11,0,11
1473,44,0,44
1474,0,0,0
1475,2,0,2
1476,33,0,33
1477,119,8,111
1478,0,0,0
1479,0,0,0
1480,0,0,0
1481,69,0,69
1482,9,0,9
1483,0,0,0
1484,0,0,0
1485,5,0,5
1486,0,0,0
1487,0,0,0
1488,20,0,20
1489,0,0,0
1490,66,0,66
1491,391,0,391
1492,0,0,0
1493,1,0,1
1494,80,0,80
1495,0,0,0
1496,0,0,0
1497,82,0,82
1498,13,13,0
1499,352,262,90
1500,0,0,0
1501,222,222,0
1502,59,0,59
1503,7,0,7
1504,0,0,0
1505,0,0,0
1506,22,0,22
1507,0,0,0
1508,3,3,0
1509,8,0,8
1510,0,0,0
1511,213,0,213
1512,0,0,0
1513,20,20,0
1514,13,0,13
1515,6,6,0
1516,0,0,0
1517,0,0,0
1518,3,2,1
1519,270,254,16
1520,0,0,0
1521,0,0,0
1522,0,0,0
1523,28,6,22
1524,124,61,63
1525,0,0,0
1526,7,0,7
1527,0,0,0
1528,0,0,0
1529,27,0,27
1530,319,196,123
1531,0,0,0
1532,25,0,25
1533,1,0,1
1534,0,0,0
1535,3,0,3
1536,1,0,1
1537,10,0,10
1538,0,0,0
1539,0,0,0
1540,0,0,0
1541,200,0,200
1542,82,0,82
1543,0,0,0
1544,0,0,0
1545,0,0,0
1546,0,0,0
1547,0,0,0
1548,475,0,475
1549,0,0,0
1550,0,0,0
1551,0,0,0
1552,12,0,12
1553,23,0,23
1554,0,0,0
1555,470,424,46
1556,0,0,0
1557,0,0,0
1558,1,0,1
1559,2,0,2
1560,0,0,0
1561,6,0,6
1562,0,0,0
1563,53,0,53
1564,0,0,0
1565,0,0,0
1566,107,0,107
1567,0,0,0
1568,14,0,14
1569,16,0,16
1570,12,6,6
1571,28,19,9
1572,89,0,89
1573,0,0,0
1574,14,0,14
1575,10,0,10
1576,9,0,9
1577,492,422,70
1578,2,0,2
1579,0,0,0
1580,0,0,0
1581,152,14,138
1582,19,11,8
1583,8,0,8
1584,14,0,14
1585,33,0,33
1586,118,118,0
1587,39,0,39
1588,0,0,0
1589,97,0,97
1590,0,0,0
1591,1,0,1
1592,0,0,0
1593,6,0,6
1594,24,10,14
1595,27,0,27
1596,0,0,0
1597,4,0,4
1598,0,0,0
1599,21,0,21
1600,0,0,0
1601,6,0,6
1602,0,0,0
1604,0,0,0
1605,0,0,0
1606,0,0,0
1607,0,0,0
1608,0,0,0
1609,9,9,0
1610,21,6,15
1611,4,0,4
1612,0,0,0
1613,7,0,7
1614,0,0,0
1615,9,0,9
1616,22,0,22
1617,9,0,9
1618,0,0,0
1619,0,0,0
1620,0,0,0
1621,0,0,0
1622,0,0,0
1623,151,0,151
1624,372,0,372
1625,312,312,0
1626,0,0,0
1627,2,0,2
1628,1,0,1
1629,77,0,77
1630,155,17,138
1631,0,0,0
1632,13,0,13
1633,124,0,124
1634,187,170,17
1635,1,0,1
1636,95,0,95
1637,81,0,81
1638,109,0,109
1639,1,0,1
1640,6,6,0
1641,0,0,0
1642,0,0,0
1643,0,0,0
1644,0,0,0
1645,323,0,323
1646,8,8,0
1647,10,0,10
1649,12,0,12
1650,0,0,0
1651,0,0,0
1652,0,0,0
1653,7,0,7
1654,0,0,0
1655,0,0,0
1656,0,0,0
1657,0,0,0
1658,0,0,0
1659,17,14,3
1660,0,0,0
1661,0,0,0
1662,313,0,313
1663,6,6,0
1664,0,0,0
1665,21,0,21
1666,29,0,29
1667,0,0,0
1668,0,0,0
1669,4,4,0
1670,970,752,218
1671,36,0,36
1672,453,453,0
1673,0,0,0
1674,156,147,9
